읍면동명,업종명,매장수
연동,한식,531
이도이동,한식,416
성산읍,한식,354
애월읍,한식,349
한림읍,한식,333
노형동,한식,329
조천읍,한식,287
대정읍,한식,270
구좌읍,한식,245
안덕면,한식,240
표선면,한식,237
정방동,한식,221
중앙동,한식,203
일도이동,한식,194
중문동,한식,191
아라동,한식,187
남원읍,한식,183
동홍동,한식,171
대륜동,한식,155
외도동,한식,121
용담이동,한식,113
삼도이동,한식,110
대천동,한식,103
예래동,한식,102
한경면,한식,100
이도일동,한식,97
화북동,한식,97
삼도일동,한식,96
삼양동,한식,94
용담일동,한식,91
오라동,한식,84
건입동,한식,77
도두동,한식,73
연동,음료,66
일도일동,한식,65
우도면,한식,64
안덕면,양식,61
이도이동,양식,54
애월읍,양식,54
효돈동,한식,52
송산동,한식,49
연동,양식,47
봉개동,한식,38
한림읍,양식,38
아라동,양식,37
천지동,한식,37
구좌읍,양식,36
연동,중식,34
노형동,양식,33
서홍동,한식,33
연동,일식,32
대정읍,양식,31
남원읍,양식,29
이도이동,일식,28
노형동,일식,28
중문동,양식,28
이도이동,음료,26
노형동,중식,26
성산읍,양식,26
한경면,양식,25
대정읍,일식,25
예래동,양식,25
정방동,음료,25
대륜동,양식,24
추자면,한식,23
성산읍,중식,23
성산읍,일식,23
이호동,한식,22
정방동,일식,22
조천읍,양식,22
대정읍,중식,21
안덕면,일식,20
이도이동,중식,20
안덕면,중식,20
표선면,일식,19
표선면,양식,19
중앙동,양식,19
한림읍,일식,19
노형동,음료,18
아라동,일식,18
조천읍,일식,18
구좌읍,음료,17
외도동,양식,17
영천동,한식,17
대륜동,일식,16
일도이동,음료,15
애월읍,중식,15
애월읍,일식,15
대천동,양식,15
성산읍,외국음식,15
정방동,중식,14
한림읍,중식,14
안덕면,외국음식,14
정방동,양식,14
대정읍,외국음식,14
조천읍,중식,13
구좌읍,일식,13
애월읍,음료,13
삼도이동,양식,13
대천동,일식,12
남원읍,외국음식,12
아라동,중식,12
동홍동,일식,12
동홍동,양식,11
송산동,양식,11
이도일동,중식,10
삼양동,중식,10
구좌읍,중식,10
중앙동,일식,10
중앙동,음료,10
중앙동,중식,10
일도일동,양식,10
외도동,일식,9
일도이동,일식,9
중앙동,외국음식,9
예래동,외국음식,9
성산읍,음료,9
표선면,중식,9
남원읍,중식,9
일도이동,양식,9
삼도일동,중식,8
한림읍,음료,8
서홍동,양식,8
외도동,중식,8
중문동,일식,8
삼양동,양식,8
대륜동,중식,8
우도면,양식,8
삼도이동,음료,8
중문동,외국음식,7
용담이동,음료,7
조천읍,음료,7
구좌읍,외국음식,7
이도이동,패스트푸드,7
남원읍,일식,7
대천동,중식,7
용담이동,양식,6
용담이동,일식,6
용담이동,중식,6
효돈동,양식,6
중문동,중식,6
예래동,중식,6
예래동,일식,6
한경면,일식,6
화북동,중식,6
안덕면,음료,6
도두동,양식,6
이도이동,외국음식,5
용담일동,중식,5
이도일동,양식,5
정방동,외국음식,5
송산동,중식,5
일도일동,음료,5
화북동,양식,5
대천동,외국음식,5
대정읍,패스트푸드,5
대륜동,음료,5
한경면,중식,5
한경면,음료,5
삼도이동,중식,5
삼도일동,음료,5
노형동,패스트푸드,5
서홍동,중식,5
아라동,외국음식,5
건입동,중식,5
아라동,음료,5
천지동,일식,5
건입동,음료,5
도두동,일식,5
도두동,중식,4
대륜동,외국음식,4
일도이동,중식,4
일도일동,중식,4
대정읍,음료,4
일도일동,외국음식,4
오라동,일식,4
동홍동,외국음식,4
동홍동,음료,4
이도일동,음료,4
용담일동,음료,4
봉개동,양식,4
삼양동,일식,4
일도일동,일식,4
우도면,음료,4
연동,패스트푸드,4
영천동,양식,4
동홍동,중식,4
표선면,외국음식,3
조천읍,외국음식,3
천지동,중식,3
효돈동,중식,3
건입동,양식,3
용담이동,패스트푸드,3
우도면,중식,3
연동,외국음식,3
서홍동,일식,3
서홍동,외국음식,3
삼도일동,양식,3
용담일동,양식,3
대천동,음료,3
우도면,일식,3
애월읍,외국음식,3
남원읍,음료,3
이도일동,일식,3
건입동,일식,3
삼도일동,일식,2
일도이동,외국음식,2
추자면,중식,2
효돈동,일식,2
효돈동,외국음식,2
표선면,음료,2
화북동,일식,2
노형동,외국음식,2
삼도이동,일식,2
봉개동,중식,2
봉개동,음료,2
동홍동,패스트푸드,2
천지동,외국음식,2
남원읍,패스트푸드,2
일도이동,패스트푸드,2
아라동,패스트푸드,2
천지동,양식,2
오라동,양식,2
이호동,중식,2
이호동,양식,2
중문동,음료,2
외도동,외국음식,2
오라동,중식,2
외도동,음료,2
예래동,음료,2
건입동,외국음식,2
도두동,음료,1
애월읍,패스트푸드,1
이호동,음료,1
중앙동,패스트푸드,1
구좌읍,패스트푸드,1
이도일동,패스트푸드,1
화북동,패스트푸드,1
이도일동,외국음식,1
우도면,패스트푸드,1
화북동,외국음식,1
우도면,외국음식,1
용담일동,외국음식,1
예래동,패스트푸드,1
오라동,음료,1
외도동,패스트푸드,1
송산동,외국음식,1
봉개동,일식,1
천지동,음료,1
삼도이동,외국음식,1
한경면,외국음식,1
중문동,패스트푸드,1
성산읍,패스트푸드,1
표선면,패스트푸드,1
삼양동,음료,1
삼양동,패스트푸드,1
도두동,패스트푸드,1
